Filename,TimeInMilliseconds
AlmostInOrder_10,0
AlmostInOrder_10,0
AlmostInOrder_10,0
AlmostInOrder_100,0
AlmostInOrder_100,0
AlmostInOrder_100,0
AlmostInOrder_1000,3
AlmostInOrder_1000,3
AlmostInOrder_1000,3
AlmostInOrder_10000,304
AlmostInOrder_10000,305
AlmostInOrder_10000,313
InOrder_10,0
InOrder_10,0
InOrder_10,0
InOrder_100,0
InOrder_100,0
InOrder_100,0
InOrder_1000,0
InOrder_1000,0
InOrder_1000,0
InOrder_10000,1
InOrder_10000,1
InOrder_10000,1
RandomOrder_10,0
RandomOrder_10,0
RandomOrder_10,0
RandomOrder_100,0
RandomOrder_100,0
RandomOrder_100,0
RandomOrder_1000,11
RandomOrder_1000,11
RandomOrder_1000,11
RandomOrder_10000,1285
RandomOrder_10000,1266
RandomOrder_10000,1372
ReverseOrder_10,0
ReverseOrder_10,0
ReverseOrder_10,0
ReverseOrder_100,0
ReverseOrder_100,0
ReverseOrder_100,0
ReverseOrder_1000,22
ReverseOrder_1000,23
ReverseOrder_1000,23
ReverseOrder_10000,2382
ReverseOrder_10000,2406
ReverseOrder_10000,2564
