FileName,Insertionsort Ints(ms),Mergesort Ints(ms)
AlmostInOrder_10,0,0
AlmostInOrder_10,0,0
AlmostInOrder_10,0,0
AlmostInOrder_100,0,2
AlmostInOrder_100,0,23
AlmostInOrder_100,0,0
AlmostInOrder_1000,0,0
AlmostInOrder_1000,0,0
AlmostInOrder_1000,0,1
AlmostInOrder_10000,33,16
AlmostInOrder_10000,33,0
AlmostInOrder_10000,33,0
AlmostInOrder_100000,3262,0
AlmostInOrder_100000,3272,2
AlmostInOrder_100000,3279,25
InOrder_10,0,0
InOrder_10,0,0
InOrder_10,0,0
InOrder_100,0,1
InOrder_100,0,32
InOrder_100,0,0
InOrder_1000,0,0
InOrder_1000,0,0
InOrder_1000,0,2
InOrder_10000,0,22
InOrder_10000,0,0
InOrder_10000,0,0
InOrder_100000,0,0
InOrder_100000,0,1
InOrder_100000,0,17
RandomOrder_10,0,0
RandomOrder_10,0,0
RandomOrder_10,0,0
RandomOrder_100,0,2
RandomOrder_100,0,25
RandomOrder_100,0,0
RandomOrder_1000,1,0
RandomOrder_1000,1,0
RandomOrder_1000,1,1
RandomOrder_10000,137,18
RandomOrder_10000,138,0
RandomOrder_10000,137,0
RandomOrder_100000,13680,0
RandomOrder_100000,13730,2
RandomOrder_100000,13655,22
ReverseOrder_10,0,0
ReverseOrder_10,0,0
ReverseOrder_10,0,0
ReverseOrder_100,0,1
ReverseOrder_100,0,16
ReverseOrder_100,0,0
ReverseOrder_1000,2,0
ReverseOrder_1000,2,0
ReverseOrder_1000,2,2
ReverseOrder_10000,272,25
ReverseOrder_10000,275,0
ReverseOrder_10000,273,0
ReverseOrder_100000,27424,0
ReverseOrder_100000,27414,1
ReverseOrder_100000,27464,24
